CAPOP,Date
39642356.40000027,2018-06-29
39642833.00000027,2018-06-30
39643309.60000027,2018-07-01
39643786.20000027,2018-07-02
39644262.80000027,2018-07-03
39644739.400000274,2018-07-04
39645216.000000276,2018-07-05
39645692.60000028,2018-07-06
39646169.20000028,2018-07-07
39646645.80000028,2018-07-08
39647122.40000028,2018-07-09
39647599.00000028,2018-07-10
39648075.600000285,2018-07-11
39648552.200000286,2018-07-12
39649028.80000029,2018-07-13
39649505.40000029,2018-07-14
39649982.00000029,2018-07-15
39650458.60000029,2018-07-16
39650935.20000029,2018-07-17
39651411.800000295,2018-07-18
39651888.4000003,2018-07-19
39652365.0000003,2018-07-20
39652841.6000003,2018-07-21
39653318.2000003,2018-07-22
39653794.8000003,2018-07-23
39654271.400000304,2018-07-24
